年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位,演唱者/演奏者/導演
92,14,流行音樂作品類-出版獎,最佳流行音樂演唱專輯獎,八度空間,阿爾發音樂股份有限公司,阿爾發音樂股份有限公司,
92,14,流行音樂作品類-出版獎,最佳流行音樂演唱專輯獎,發燒,華納國際音樂股份有限公司,華納國際音樂股份有限公司,
92,14,流行音樂作品類-出版獎,最佳流行音樂演唱專輯獎,Dear Shunza,科藝百代股份有限公司,科藝百代股份有限公司,
92,14,流行音樂作品類-出版獎,最佳流行音樂演唱專輯獎,野放客,傳響樂坊,傳響樂坊,
92,14,流行音樂作品類-出版獎,最佳流行音樂演唱專輯獎,special thanks to...,艾迴股份有限公司?,艾迴股份有限公司,
92,14,流行音樂作品類-出版獎,最佳流行音樂演奏專輯獎,想飛電影原聲帶,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,
92,14,流行音樂作品類-出版獎,最佳流行音樂演奏專輯獎,第33個街角轉彎,風潮有聲出版有限公司,風潮有聲出版有限公司,
92,14,流行音樂作品類-出版獎,最佳流行音樂演奏專輯獎,流動的城市,風潮有聲出版有限公司,風潮有聲出版有限公司,
92,14,流行音樂作品類-出版獎,最佳流行音樂演奏專輯獎,山居歲月,風潮有聲出版有限公司,風潮有聲出版有限公司,
92,14,流行音樂作品類-出版獎,最佳流行音樂演奏專輯獎,人間喜劇　電影原聲帶,角頭文化事業股份有限公司,角頭文化事業股份有限公司,
92,14,流行音樂作品類-出版獎,最佳音樂錄影帶獎,愛上你等於愛上寂寞《如今…》,華納國際音樂股份有限公司,華納國際音樂股份有限公司,林錦和
92,14,流行音樂作品類-出版獎,最佳音樂錄影帶獎,放手《Come On》,環球國際唱片股份有限公司,環球國際唱片股份有限公司,鄺盛
92,14,流行音樂作品類-出版獎,最佳音樂錄影帶獎,一輩子的孤單《Love and the city》,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,陳宏一
92,14,流行音樂作品類-出版獎,最佳音樂錄影帶獎,躺在你的衣櫃《groupies吉他手》,魔岩唱片股份有限公司,魔岩唱片股份有限公司,鍾孟宏
92,14,流行音樂作品類-出版獎,最佳音樂錄影帶獎,放《Magic戴愛玲》,香港商維京百代音樂事業股份有限公司台灣分公司,香港商維京百代音樂事業股份有限公司台灣分公司,金卓
92,14,流行音樂作品類-出版獎,最佳音樂錄影帶獎,W-H-Y《王力宏的音樂進化論》,新力哥倫比亞音樂股份有限公司,新力哥倫比亞音樂股份有限公司,@pple
92,14,流行音樂作品類-個人獎,最佳作曲人獎,如今《如今…》,陳曉娟,華納國際音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳作曲人獎,我喜歡《Sunrise我喜歡梁靜茹》,潘協慶,滾石國際音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳作曲人獎,深邃與甜蜜《等待　張清芳》,陳志遠,豐華唱片股份有限公司,
92,14,流行音樂作品類-個人獎,最佳作曲人獎,時間的滋味《雙陳故事》,陳志遠,豐華唱片股份有限公司,
92,14,流行音樂作品類-個人獎,最佳作曲人獎,你的背包《special thanks to...》,蔡政勳,艾迴股份有限公司,
92,14,流行音樂作品類-個人獎,最佳作曲人獎,愛《﹝i﹞》,陳曉娟,新力哥倫比亞音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳作詞人獎,天黑《天黑》,林秋離,華宇唱片股份有限公司,
92,14,流行音樂作品類-個人獎,最佳作詞人獎,爺爺泡的茶《八度空間》,方文山,阿爾發音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳作詞人獎,你是我的眼《你是我的眼》,蕭煌奇,齊能音樂製作有限公司,
92,14,流行音樂作品類-個人獎,最佳作詞人獎,深邃與甜蜜《等待　張清芳》,張曼娟,豐華唱片股份有限公司,
92,14,流行音樂作品類-個人獎,最佳作詞人獎,想哭《special thanks to...》,林夕,艾迴股份有限公司,
92,14,流行音樂作品類-個人獎,最佳作詞人獎,愛《﹝i﹞》,李焯雄,新力哥倫比亞音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳編曲人獎,美麗新世界《美麗新世界》,呂紹淳,華研國際音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳編曲人獎,龍拳《八度空間》,洪敬堯,阿爾發音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳編曲人獎,最後的戰役《八度空間》,鍾興民,阿爾發音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳編曲人獎,時間的滋味《雙陳故事》,陳志遠,豐華唱片股份有限公司,
92,14,流行音樂作品類-個人獎,最佳編曲人獎,W-H-Y《王力宏的音樂進化論》,王力宏,新力哥倫比亞音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳專輯製作人獎,八度空間,周杰倫,阿爾發音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳專輯製作人獎,Dear Shunza,順子、林哲民,科藝百代股份有限公司,
92,14,流行音樂作品類-個人獎,最佳專輯製作人獎,第33個街角轉彎,董運昌,風潮有聲出版有限公司,
92,14,流行音樂作品類-個人獎,最佳專輯製作人獎,野放客,劉劭希,傳響樂坊,
92,14,流行音樂作品類-個人獎,最佳專輯製作人獎,special thanks to...,李振權,艾迴股份有限公司,
92,14,流行音樂作品類-個人獎,最佳國語男演唱人獎,黑色柳丁,陶喆,俠客唱片股份有限公司,
92,14,流行音樂作品類-個人獎,最佳國語男演唱人獎,你是我的眼,蕭煌奇,齊能音樂製作有限公司,
92,14,流行音樂作品類-個人獎,最佳國語男演唱人獎,時間的味道,林志炫,炫音音樂有限公司,
92,14,流行音樂作品類-個人獎,最佳國語男演唱人獎,風華再現,費玉清,華納國際音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳國語男演唱人獎,他在那裡,張學友,上華國際企業股份有限公司,
92,14,流行音樂作品類-個人獎,最佳國語男演唱人獎,special thanks to...,陳奕迅,艾迴股份有限公司,
92,14,流行音樂作品類-個人獎,最佳台語男演唱人獎,一生只有你,蔡小虎,豪記影視唱片有限公司,
92,14,流行音樂作品類-個人獎,最佳台語男演唱人獎,命中注定,王識賢,華特國際音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳台語男演唱人獎,洪樓夢,洪榮宏,超級星多媒體股份有限公司,
92,14,流行音樂作品類-個人獎,最佳國語女演唱人獎,發燒,張惠妹,華納國際音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳國語女演唱人獎,如今…,那英,華納國際音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳國語女演唱人獎,Dear Shunza,順子,科藝百代股份有限公司,
92,14,流行音樂作品類-個人獎,最佳國語女演唱人獎,芸開了,許茹芸,科藝百代股份有限公司,
92,14,流行音樂作品類-個人獎,最佳國語女演唱人獎,等待　張清芳,張清芳,豐華唱片股份有限公司,
92,14,流行音樂作品類-個人獎,最佳國語女演唱人獎,﹝i﹞,莫文蔚,新力哥倫比亞音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳台語女演唱人獎,yoyo姊妹,謝金燕,華特國際音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳台語女演唱人獎,江蕙－紅線,江蕙,亞律音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳台語女演唱人獎,愛你愛到這,孫淑媚,大旗製作股份有限公司,
92,14,流行音樂作品類-個人獎,最佳客語演唱人獎,紙鷂,顏志文,山風音樂有限公司,
92,14,流行音樂作品類-個人獎,最佳客語演唱人獎,硬頸暢流客家樂團　顛覆2002,羅國禮,硬頸暢流客家樂團,
92,14,流行音樂作品類-個人獎,最佳客語演唱人獎,野放客,劉劭希,傳響樂坊,
92,14,流行音樂作品類-個人獎,最佳原住民語演唱人獎,入圍從缺,,,
92,14,流行音樂作品類-個人獎,最佳樂團獎,壁虎大樂隊?THE WALL TIGERS,壁虎大樂隊,愛做音樂有限公司,
92,14,流行音樂作品類-個人獎,最佳樂團獎,飛了,小刀樂團,愛做音樂有限公司,
92,14,流行音樂作品類-個人獎,最佳樂團獎,十一台,董事長樂團,愛做音樂有限公司,
92,14,流行音樂作品類-個人獎,最佳樂團獎,閃靈樂團永劫輪迴,閃靈樂團,水晶唱片有限公司,
92,14,流行音樂作品類-個人獎,最佳樂團獎,信樂團,信樂團,艾迴股份有限公司,
92,14,流行音樂作品類-個人獎,最佳重唱組合獎,美麗新世界,S.H.E,華研國際音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳重唱組合獎,man,動力火車,華研國際音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳重唱組合獎,皇后之歌,B.A.D,科藝百代股份有限公司,
92,14,流行音樂作品類-個人獎,最佳新人獎,may i love you,張智成,華研國際音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳新人獎,天黑,阿杜,華宇唱片股份有限公司,
92,14,流行音樂作品類-個人獎,最佳新人獎,快樂為主,許慧欣,上華國際企業股份有限公司,
92,14,流行音樂作品類-個人獎,最佳新人獎,范逸臣VAN,范逸臣,豐華唱片股份有限公司,
92,14,流行音樂作品類-個人獎,最佳新人獎,More Lisa,Lisa,嘉瑪音樂國際有限公司,
92,14,傳統暨藝術音樂作品類-出版獎,最佳古典音樂專輯獎,聆聽德林傑鋼琴獨奏專輯（一）,家威影音實業有限公司,家威影音實業有限公司,
92,14,傳統暨藝術音樂作品類-出版獎,最佳古典音樂專輯獎,高雄市青少年木笛團2002年紀念專輯,高雄市青少年木笛合奏團,高雄市青少年木笛合奏團,
92,14,傳統暨藝術音樂作品類-出版獎,最佳古典音樂專輯獎,世紀歸零－現代台灣合唱經典,財團法人台北愛樂文教基金會,財團法人台北愛樂文教基金會,
92,14,傳統暨藝術音樂作品類-出版獎,最佳古典音樂專輯獎,知心樂坊,知心樂坊,知心樂坊,
92,14,傳統暨藝術音樂作品類-出版獎,最佳民族樂曲專輯獎,給我的父親－郭英男,高動力唱片有限公司,高動力唱片有限公司,
92,14,傳統暨藝術音樂作品類-出版獎,最佳民族樂曲專輯獎,賽德克的吶喊,得音有聲出版社（得魚文化傳播社）,得音有聲出版社（得魚文化傳播社）,
92,14,傳統暨藝術音樂作品類-出版獎,最佳民族樂曲專輯獎,乾隆江南遊,亞洲唱片有限公司,亞洲唱片有限公司,
92,14,傳統暨藝術音樂作品類-出版獎,最佳戲曲曲藝專輯獎,京劇經典唱腔典藏集系列六　薛亞平專輯,皇龍文化事業股份有限公司,皇龍文化事業股份有限公司,
92,14,傳統暨藝術音樂作品類-出版獎,最佳戲曲曲藝專輯獎,台灣百年歌謠樂史彈唱見證,寰宇文化工作室,寰宇文化工作室,
92,14,傳統暨藝術音樂作品類-出版獎,最佳戲曲曲藝專輯獎,快書‧竹板‧林文彬,同心圓股份有限公司,同心圓股份有限公司,
92,14,傳統暨藝術音樂作品類-出版獎,最佳兒童樂曲專輯獎,ㄅㄆㄇ學客語,桃園縣客家公共事務協會,桃園縣客家公共事務協會,
92,14,傳統暨藝術音樂作品類-出版獎,最佳兒童樂曲專輯獎,Vu Vu的故事,風潮有聲出版有限公司,風潮有聲出版有限公司,
92,14,傳統暨藝術音樂作品類-出版獎,最佳宗教音樂專輯獎,藏樂,源動力文化發展事業有限公司,源動力文化發展事業有限公司,
92,14,傳統暨藝術音樂作品類-出版獎,最佳宗教音樂專輯獎,朝山梵唄,梵音文化事業公司,梵音文化事業公司,
92,14,傳統暨藝術音樂作品類-出版獎,最佳宗教音樂專輯獎,我的救主，我的王,撒母耳文化事業出版社,撒母耳文化事業出版社,
92,14,傳統暨藝術音樂作品類-出版獎,最佳宗教音樂專輯獎,伊的疼惜,財團法人救世傳播協會天韻有聲出版社,財團法人救世傳播協會天韻有聲出版社,
92,14,傳統暨藝術音樂作品類-出版獎,最佳跨界音樂專輯獎,世界在我的窗外,華特國際音樂股份有限公司,華特國際音樂股份有限公司,
92,14,傳統暨藝術音樂作品類-出版獎,最佳跨界音樂專輯獎,多媒體音樂劇場原聲帶藍色馬賽克,硬底子音樂網有限公司,硬底子音樂網有限公司,
92,14,傳統暨藝術音樂作品類-出版獎,最佳跨界音樂專輯獎,郭虔哲 華麗冒險,金革科技股份有限公司,金革科技股份有限公司,
92,14,傳統暨藝術音樂作品類-出版獎,最佳跨界音樂專輯獎,同路人（詩說情．愛）,普飛數位錄音有限公司,普飛數位錄音有限公司,
92,14,傳統暨藝術音樂作品類-出版獎,最佳跨界音樂專輯獎,穿越星空與你相遇,如是我聞文化股份有限公司,如是我聞文化股份有限公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳作曲人獎,蘋果之吻《多媒體音樂劇場原聲帶藍色馬賽克》,Koji Sakurai,硬底子音樂網有限公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳作曲人獎,世紀歸零為環保而唱《世紀歸零－現代台灣合唱經典》,許雅民,財團法人台北愛樂文教基金會,
92,14,傳統暨藝術音樂作品類-個人獎,最佳作曲人獎,回憶《知心樂坊》,張曉雯,知心樂坊團,
92,14,傳統暨藝術音樂作品類-個人獎,最佳作曲人獎,七顆星星的詩篇《VuVu的故事》,彭靖,風潮有聲出版有限公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳作曲人獎,牧神的夜宴《最近的天堂》,彭靖,風潮有聲出版有限公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳作詞人獎,不要說話《不要說話》,陳建名,仟寶兒企業有限公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳作詞人獎,爸媽的手《我喜歡你陪我唱兒歌》,李蝶菲,簡力股份有限公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳作詞人獎,世紀歸零為環保而唱《世紀歸零-現代台灣合唱經典》,許雅民,財團法人台北愛樂文教基金會,
92,14,傳統暨藝術音樂作品類-個人獎,最佳作詞人獎,父母恩重難報經《父母恩重難報經》,王端正,靜思文化志業有限公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳作詞人獎,眼光《伊的疼惜》,葉薇心,財團法人救世傳播協會天韻有聲出版社,
92,14,傳統暨藝術音樂作品類-個人獎,最佳專輯製作人獎,給我的父親－郭英男,蟻康亮,高動力唱片有限公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳專輯製作人獎,台灣百年歌謠樂史彈唱見證,眭澔平,寰宇文化工作室,
